OBJECTID,Date,Fatalities,Confidence,Inventory,LS_ID,Info_source,InventoryURL,Notes,Latitude,Longitude,US Level I ecoregion
1,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Allens Park",40.21861899,-105.5125166,NORTHWESTERN_FORESTED_MOUNTAINS
2,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Allens Park",40.21786064,-105.5123586,NORTHWESTERN_FORESTED_MOUNTAINS
3,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Allens Park",40.21732348,-105.512169,NORTHWESTERN_FORESTED_MOUNTAINS
4,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Allens Park",40.21681708,-105.5052756,NORTHWESTERN_FORESTED_MOUNTAINS
5,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Allens Park",40.2147704,-105.5026932,NORTHWESTERN_FORESTED_MOUNTAINS
7,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Allens Park",40.20553333,-105.5015629,NORTHWESTERN_FORESTED_MOUNTAINS
8,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Allens Park",40.20400786,-105.5019369,NORTHWESTERN_FORESTED_MOUNTAINS
9,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Allens Park",40.20676795,-105.5000981,NORTHWESTERN_FORESTED_MOUNTAINS
18,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Boulder",40.12112784,-105.324725,NORTHWESTERN_FORESTED_MOUNTAINS
19,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.1211252,-105.3247144,NORTHWESTERN_FORESTED_MOUNTAINS
20,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Boulder",40.1209351,-105.3249605,NORTHWESTERN_FORESTED_MOUNTAINS
21,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Boulder",40.12089941,-105.3251711,NORTHWESTERN_FORESTED_MOUNTAINS
22,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Boulder",40.12138353,-105.3259847,NORTHWESTERN_FORESTED_MOUNTAINS
23,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Boulder",40.12151487,-105.3259562,NORTHWESTERN_FORESTED_MOUNTAINS
24,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Boulder",40.12320908,-105.324589,NORTHWESTERN_FORESTED_MOUNTAINS
25,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Boulder",40.1226737,-105.3251315,NORTHWESTERN_FORESTED_MOUNTAINS
26,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Boulder",40.12234891,-105.3251601,NORTHWESTERN_FORESTED_MOUNTAINS
28,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Boulder",40.12157383,-105.3686801,NORTHWESTERN_FORESTED_MOUNTAINS
31,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Channel, Pinewood Lake",40.29501199,-105.3584646,NORTHWESTERN_FORESTED_MOUNTAINS
32,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Pinewood Lake",40.32250071,-105.3380381,NORTHWESTERN_FORESTED_MOUNTAINS
33,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Channel, Pinewood Lake",40.32599019,-105.3281289,NORTHWESTERN_FORESTED_MOUNTAINS
36,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Channel, Pinewood Lake",40.3077347,-105.3233086,NORTHWESTERN_FORESTED_MOUNTAINS
45,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Pinewood Lake",40.49460087,-105.3291272,NORTHWESTERN_FORESTED_MOUNTAINS
46,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Pinewood Lake",40.49224477,-105.3318147,NORTHWESTERN_FORESTED_MOUNTAINS
47,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Pinewood Lake",40.49220829,-105.3313208,NORTHWESTERN_FORESTED_MOUNTAINS
